Estado ,< 1 ,1 - 4 ,5 - 9 ,10 - 14 ,15 - 19 ,20 - 24 ,25 - 44 ,45 - 49 ,50 - 59 ,60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,0 ,1 ,1 ,3 ,11 ,11 ,39 ,3 ,3 ,0 ,0 ,0 ,72
Baja California ,0 ,0 ,3 ,13 ,65 ,93 ,265 ,50 ,41 ,3 ,12 ,0 ,545
Baja California Sur ,0 ,0 ,1 ,1 ,8 ,18 ,48 ,4 ,4 ,0 ,0 ,0 ,84
Campeche ,0 ,26 ,97 ,157 ,112 ,111 ,481 ,41 ,33 ,8 ,8 ,0 ,1 074
Coahuila ,0 ,1 ,0 ,1 ,12 ,23 ,34 ,2 ,4 ,0 ,0 ,0 ,77
Colima ,0 ,4 ,2 ,10 ,19 ,23 ,60 ,9 ,7 ,1 ,3 ,0 ,138
Chiapas ,1 ,3 ,29 ,49 ,94 ,137 ,409 ,53 ,26 ,3 ,5 ,0 ,809
Chihuahua ,2 ,2 ,19 ,106 ,505 ,408 ,1 417 ,205 ,266 ,70 ,96 ,0 ,3 096
Distrito Federal ,5 ,25 ,26 ,68 ,150 ,153 ,535 ,71 ,96 ,16 ,33 ,0 ,1 178
Durango ,0 ,4 ,26 ,25 ,70 ,63 ,242 ,29 ,42 ,4 ,9 ,0 ,514
Guanajuato ,5 ,16 ,36 ,114 ,601 ,689 ,2 584 ,436 ,475 ,134 ,166 ,0 ,5 256
Guerrero ,3 ,9 ,11 ,36 ,73 ,68 ,154 ,21 ,25 ,6 ,7 ,0 ,413
Hidalgo ,7 ,20 ,32 ,57 ,168 ,251 ,696 ,95 ,73 ,16 ,14 ,0 ,1 429
Jalisco ,3 ,28 ,32 ,60 ,211 ,299 ,1 144 ,114 ,134 ,25 ,42 ,1 ,2 093
México ,25 ,159 ,212 ,157 ,257 ,248 ,770 ,85 ,56 ,13 ,31 ,1 ,2 014
Michoacán ,3 ,20 ,22 ,30 ,540 ,1 003 ,2 429 ,414 ,380 ,70 ,54 ,0 ,4 965
Morelos ,0 ,2 ,11 ,17 ,68 ,103 ,379 ,42 ,70 ,15 ,15 ,0 ,722
Nayarit ,2 ,7 ,37 ,91 ,128 ,154 ,395 ,92 ,53 ,16 ,13 ,0 ,988
Nuevo León ,4 ,16 ,44 ,87 ,155 ,234 ,824 ,115 ,83 ,26 ,19 ,0 ,1 607
Oaxaca ,0 ,2 ,10 ,36 ,108 ,104 ,424 ,74 ,43 ,10 ,19 ,0 ,830
Puebla ,1 ,3 ,17 ,42 ,96 ,102 ,289 ,37 ,41 ,14 ,14 ,0 ,656
Querétaro ,0 ,10 ,36 ,120 ,415 ,535 ,1 888 ,334 ,322 ,82 ,77 ,0 ,3 819
Quintana Roo ,0 ,7 ,6 ,17 ,83 ,116 ,366 ,61 ,49 ,8 ,6 ,0 ,719
San Luis Potosí ,0 ,0 ,4 ,10 ,46 ,61 ,181 ,15 ,10 ,3 ,7 ,0 ,337
Sinaloa ,3 ,18 ,33 ,23 ,24 ,22 ,139 ,22 ,20 ,8 ,8 ,0 ,320
Sonora ,1 ,3 ,6 ,9 ,29 ,39 ,118 ,13 ,12 ,2 ,2 ,1 ,235
Tabasco ,0 ,4 ,24 ,38 ,360 ,223 ,1 109 ,134 ,150 ,23 ,11 ,0 ,2 076
Tamaulipas ,2 ,15 ,13 ,11 ,109 ,67 ,219 ,41 ,53 ,10 ,6 ,0 ,546
Tlaxcala ,1 ,10 ,9 ,19 ,73 ,43 ,171 ,19 ,21 ,3 ,5 ,1 ,375
Veracruz ,0 ,2 ,68 ,42 ,129 ,133 ,542 ,46 ,48 ,6 ,8 ,0 ,1 024
Yucatán ,0 ,13 ,28 ,75 ,248 ,260 ,922 ,110 ,107 ,35 ,25 ,1 ,1 824
Zacatecas ,1 ,4 ,5 ,37 ,142 ,137 ,517 ,89 ,80 ,13 ,29 ,0 ,1 054
TOTAL GLOBAL ,69 ,434 ,900 ,1 561 ,5 109 ,5 931 ,19 790 ,2 876 ,2 827 ,643 ,744 ,5 ,40 889
