Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign.,Total
Aguascalientes ,  0 ,  1 ,  1 ,  4 ,  12 ,  12  , 45 ,  5 ,  3 ,  0 ,  0 ,  0 ,  83
Baja California ,  0 ,  1 ,  6 ,  14 ,  68 ,  93  , 279 ,  50 ,  41 ,  4 ,  12 ,  0 ,  568
Baja California Sur ,  0 ,  3 ,  3 ,  1 ,  8 ,  18 ,  56 ,  4 ,  5 ,  1 ,  1 ,  0 ,  100
Campeche ,  0 ,  43 ,  206 ,  254 ,  170 ,  135 ,  544 ,  49 ,  40 ,  8 ,  9 ,  0 , 1 458
Coahuila ,  0 ,  1 ,  1 ,  3 ,  16 ,  24 ,  37 ,  4 ,  5 ,  3 ,  1 ,  0 ,  95
Colima ,  1 ,  6 ,  7 ,  12 ,  22 ,  23 ,  67 ,  9 ,  7 ,  1 ,  4 ,  0 ,  159
Chiapas ,  3 ,  8 ,  47 ,  61 ,  101 ,  155 ,  430 ,  61 ,  29 ,  5 ,  7 ,  0 ,  907
Chihuahua ,  2 ,  4 ,  31 ,  181 ,  598 ,  506 , 1 702 ,  254 ,  308 ,  87 ,  133 ,  0 , 3 806
Distrito Federal ,  6 ,  35 ,  72 ,  132 ,  165 ,  169  , 563 ,  75 ,  102 ,  20 ,  39 ,  0 , 1 378
Durango ,  0 ,  16 ,  36 ,  53 ,  79 ,  77 ,  275 ,  35 ,  44 ,  5 ,  11 ,  0 ,  631
Guanajuato ,  6 ,  22 ,  60 ,  134 ,  626 ,  700 , 2 623 ,  453 ,  483 ,  138 ,  176 ,  0 , 5 421
Guerrero ,  5 ,  19 ,  25 ,  46 ,  85 ,  70  , 169 ,  32 ,  27 ,  7 ,  13 ,  0 ,  498
Hidalgo ,  11 ,  37 ,  74 ,  99 ,  196 ,  274  , 777 ,  105 ,  88 ,  18 ,  25 ,  0 , 1 704
Jalisco ,  9 ,  46 ,  56 ,  108 ,  268 ,  364 , 1 380 ,  141 ,  175 ,  34 ,  70 ,  1 , 2 652
México ,  43 ,  288 ,  404 ,  280 ,  284 ,  259  , 803 ,  93 ,  61 ,  16 ,  41 ,  2 , 2 574
Michoacán ,  4 ,  36 ,  54 ,  53 ,  557 , 1 015 , 2 460 ,  418 ,  386 ,  70 ,  56 ,  0 , 5 109
Morelos ,  0 ,  4 ,  18 ,  19 ,  73 ,  106  , 389 ,  42 ,  73 ,  15 ,  15 ,  0 ,  754
Nayarit ,  3 ,  11 ,  64 ,  130 ,  141 ,  172  , 442 ,  102 ,  59 ,  17 ,  16 ,  0 , 1 157
Nuevo León ,  8 ,  27 ,  74 ,  111 ,  174 ,  248 ,  856 ,  130 ,  91 ,  30 ,  23 ,  0 , 1 772
Oaxaca ,  1 ,  2 ,  18 ,  47 ,  131 ,  112,448 ,  78 ,  48 ,  11 ,  20 ,  0 ,  916
Puebla ,  3 ,  14 ,  30 ,  57 ,  121 ,  122  , 371 ,  51 ,  56 ,  17 ,  19 ,  0 ,  861
Querétaro ,  0 ,  16 ,  60 ,  176 ,  451 ,  564 , 2 003 ,  353 ,  342 ,  86 ,  84 ,  0 , 4 135
Quintana Roo ,  0 ,  9 ,  10 ,  26 ,  93 ,  129 ,  395 ,  62 ,  53 ,  9 ,  6 ,  0 ,  792
San Luis Potosí ,  0 ,  4 ,  6 ,  13 ,  48 ,  61  , 183 ,  15 ,  12 ,  3 ,  12 ,  0 ,  357
Sinaloa ,  6 ,  28 ,  63 ,  31 ,  39 ,  31 ,  157 ,  26 ,  26 ,  11 ,  8 ,  1 ,  427
Sonora ,  2 ,  3 ,  12 ,  17 ,  35 ,  44 ,  147 ,  16 ,  16 ,  2 ,  5 ,  1 ,  300
Tabasco ,  0 ,  7 ,  41 ,  53 ,  368 ,  232 , 1 158 ,  143 ,  155 ,  23 ,  13 ,  0 , 2 193
Tamaulipas ,  3 ,  21 ,  26 ,  14 ,  112 ,  68 ,  232 ,  42 ,  54 ,  10 ,  6 ,  0 ,  588
Tlaxcala ,  1 ,  12 ,  18 ,  22 ,  83 ,  51 ,  188 ,  21 ,  23 ,  3 ,  6 ,  1 ,  429
Veracruz ,  0 ,  7 ,  126 ,  74 ,  154 ,  144  , 591 ,  52 ,  56 ,  9 ,  15 ,  0 , 1 228
Yucatán ,  1 ,  21 ,  41 ,  88 ,  255 ,  272 ,  938 ,  116 ,  121 ,  38 ,  36 ,  3 , 1 930
Zacatecas ,  3 ,  4 ,  13 ,  37 ,  143 ,  138  , 524 ,  91 ,  80 ,  13 ,  29 ,  0 , 1 075
TOTAL GLOBAL ,  121 ,  756 , 1 703 , 2 350 , 5 676 , 6 388 , 21 232 , 3 128 , 3 069 ,  714 ,  911 ,  9 , 46 057
