Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign.,Total
Aguascalientes ,  0 ,  1 ,  0 ,  4 ,  9 ,  10 ,  32 ,  2 ,  4 ,  1 ,  0 ,  0 ,  63
Baja California ,  0 ,  6 ,  17 ,  15 ,  98 ,  163 ,  429 ,  82 ,  94 ,  17 ,  23 ,  0 ,  944
Baja California Sur ,  3 ,  11 ,  4 ,  27 ,  53 ,  60 ,  123 ,  23 ,  14 ,  4 ,  3 ,  0 ,  325
Campeche ,  0 ,  5 ,  12 ,  127 ,  211 ,  147 ,  549 ,  67 ,  47 ,  10 ,  1 ,  0 , 1 176
Coahuila ,  1 ,  4 ,  0 ,  2 ,  13 ,  19 ,  30 ,  3 ,  3 ,  0 ,  0 ,  0 ,  75
Colima ,  0 ,  7 ,  4 ,  10 ,  40 ,  64 ,  201 ,  28 ,  30 ,  4 ,  8 ,  0 ,  396
Chiapas ,  1 ,  6 ,  14 ,  21 ,  156 ,  204 ,  477 ,  91 ,  46 ,  9 ,  9 ,  0 , 1 034
Chihuahua ,  3 ,  10 ,  12 ,  168 ,  905 ,  776 , 2 019 ,  248 ,  270 ,  66 ,  71 ,  0 , 4 548
Distrito Federal ,  3 ,  58 ,  46 ,  135 ,  166 ,  228 ,  586 ,  127 ,  127 ,  69 ,  44 ,  0 , 1 589
Durango ,  1 ,  4 ,  12 ,  19 ,  75 ,  75 ,  309 ,  51 ,  35 ,  10 ,  3 ,  0 ,  594
Guanajuato ,  5 ,  12 ,  39 ,  88 ,  848 ,  994 , 4 007 ,  809 ,  810 ,  249 ,  361 ,  0 , 8 222
Guerrero ,  0 ,  14 ,  72 ,  136 ,  328 ,  232 ,  745 ,  144 ,  149 ,  38 ,  30 ,  0 , 1 888
Hidalgo ,  7 ,  13 ,  152 ,  142 ,  182 ,  230 ,  833 ,  142 ,  99 ,  33 ,  26 ,  0 , 1 859
Jalisco ,  9 ,  54 ,  72 ,  90 ,  361 ,  478 , 1 761 ,  191 ,  207 ,  49 ,  85 ,  3 , 3 360
México ,  45 ,  356 ,  475 ,  491 ,  495 ,  499 , 1 024 ,  225 ,  169 ,  41 ,  35 ,  1 , 3 856
Michoacán ,  2 ,  17 ,  25 ,  71 ,  536 ,  647 , 1 941 ,  284 ,  293 ,  54 ,  42 ,  2 , 3 914
Morelos ,  0 ,  7 ,  15 ,  38 ,  110 ,  109 ,  457 ,  104 ,  74 ,  20 ,  18 ,  0 ,  952
Nayarit ,  1 ,  4 ,  10 ,  13 ,  70 ,  71 ,  249 ,  33 ,  28 ,  6 ,  6 ,  0 ,  491
Nuevo León ,  9 ,  33 ,  87 ,  99 ,  211 ,  298 ,  733 ,  210 ,  106 ,  47 ,  20 ,  0 , 1 853
Oaxaca ,  3 ,  3 ,  41 ,  60 ,  94 ,  135 ,  468 ,  67 ,  54 ,  9 ,  18 ,  0 ,  952
Puebla ,  2 ,  6 ,  36 ,  91 ,  196 ,  201 ,  617 ,  86 ,  86 ,  9 ,  31 ,  0 , 1 361
Querétaro ,  8 ,  64 ,  97 ,  248 ,  559 ,  653 , 1 774 ,  315 ,  303 ,  62 ,  50 ,  0 , 4 133
Quintana Roo ,  1 ,  5 ,  27 ,  78 ,  135 ,  157 ,  700 ,  136 ,  130 ,  24 ,  17 ,  0 , 1 410
San Luis Potosí ,  1 ,  5 ,  15 ,  39 ,  135 ,  135 ,  434 ,  60 ,  61 ,  17 ,  15 ,  0 ,  917
Sinaloa ,  4 ,  12 ,  21 ,  27 ,  25 ,  49 ,  189 ,  18 ,  36 ,  2 ,  5 ,  0 ,  388
Sonora ,  0 ,  7 ,  5 ,  10 ,  45 ,  58 ,  160 ,  18 ,  19 ,  5 ,  5 ,  0 ,  332
Tabasco ,  1 ,  4 ,  11 ,  45 ,  360 ,  268 ,  928 ,  114 ,  123 ,  18 ,  20 ,  0 , 1 892
Tamaulipas ,  8 ,  17 ,  28 ,  40 ,  148 ,  102 ,  549 ,  136 ,  115 ,  41 ,  19 ,  1 , 1 204
Tlaxcala ,  0 ,  6 ,  18 ,  31 ,  75 ,  83 ,  209 ,  33 ,  33 ,  10 ,  6 ,  0 ,  504
Veracruz ,  1 ,  6 ,  88 ,  100 ,  170 ,  160 ,  532 ,  59 ,  59 ,  19 ,  15 ,  1 , 1 210
Yucatán ,  3 ,  24 ,  60 ,  113 ,  320 ,  418 , 1 264 ,  210 ,  175 ,  27 ,  32 ,  0 , 2 646
Zacatecas ,  1 ,  4 ,  4 ,  27 ,  143 ,  146 ,  504 ,  89 ,  67 ,  18 ,  21 ,  0 , 1 024
TOTAL GLOBAL ,  123 ,  785 , 1 519 , 2 605 , 7 272 , 7 869 , 24 833 , 4 205 , 3 866 ,  988 , 1 039 ,  8 , 55 112
