Estado ,< 1 ,1 - 4 ,5 - 9 ,10 - 14 ,15 - 19 ,20 - 24 ,25 - 44 ,45 - 49 ,50 - 59 ,60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,1 ,0 ,2 ,4 ,9 ,16 ,36 ,8 ,1 ,1 ,1 ,0 ,79
Baja California ,1 ,2 ,2 ,10 ,40 ,72 ,148 ,13 ,13 ,1 ,1 ,0 ,303
Baja California Sur ,2 ,0 ,6 ,13 ,8 ,37 ,80 ,4 ,3 ,1 ,0 ,0 ,154
Campeche ,6 ,13 ,61 ,66 ,111 ,68 ,339 ,28 ,34 ,13 ,7 ,0 ,746
Coahuila ,0 ,3 ,1 ,0 ,11 ,19 ,46 ,5 ,12 ,7 ,4 ,1 ,109
Colima ,0 ,1 ,4 ,9 ,7 ,16 ,43 ,10 ,3 ,5 ,2 ,0 ,100
Chiapas ,1 ,1 ,8 ,20 ,19 ,36 ,63 ,19 ,7 ,2 ,4 ,0 ,180
Chihuahua ,0 ,4 ,11 ,62 ,195 ,224 ,799 ,162 ,119 ,27 ,20 ,0 ,1 623
Distrito Federal ,2 ,15 ,35 ,53 ,191 ,111 ,265 ,22 ,18 ,8 ,18 ,0 ,738
Durango ,0 ,1 ,4 ,2 ,11 ,18 ,64 ,7 ,2 ,1 ,1 ,0 ,111
Guanajuato ,1 ,10 ,20 ,32 ,132 ,187 ,539 ,82 ,64 ,16 ,11 ,0 ,1 094
Guerrero ,1 ,3 ,14 ,29 ,46 ,22 ,139 ,23 ,17 ,8 ,3 ,0 ,305
Hidalgo ,4 ,22 ,44 ,71 ,145 ,238 ,868 ,112 ,99 ,26 ,25 ,0 ,1 654
Jalisco ,3 ,19 ,60 ,71 ,214 ,347 ,742 ,183 ,160 ,113 ,54 ,0 ,1 966
México ,25 ,70 ,74 ,50 ,25 ,42 ,93 ,11 ,15 ,9 ,7 ,0 ,421
Michoacán ,0 ,5 ,12 ,13 ,135 ,163 ,517 ,70 ,76 ,10 ,24 ,1 ,1 026
Morelos ,0 ,3 ,5 ,6 ,20 ,19 ,63 ,10 ,8 ,3 ,0 ,1 ,138
Nayarit ,0 ,8 ,34 ,37 ,89 ,134 ,399 ,39 ,56 ,8 ,6 ,0 ,810
Nuevo León ,5 ,10 ,56 ,44 ,88 ,110 ,407 ,43 ,45 ,10 ,11 ,0 ,829
Oaxaca ,1 ,6 ,16 ,35 ,88 ,122 ,422 ,58 ,32 ,10 ,15 ,0 ,805
Puebla ,0 ,12 ,16 ,21 ,58 ,70 ,220 ,18 ,31 ,5 ,1 ,0 ,452
Querétaro ,0 ,11 ,24 ,85 ,551 ,685 ,1 473 ,184 ,159 ,44 ,46 ,0 ,3 262
Quintana Roo ,0 ,0 ,2 ,14 ,28 ,56 ,133 ,18 ,9 ,0 ,5 ,0 ,265
San Luis Potosí ,1 ,3 ,2 ,7 ,16 ,24 ,61 ,8 ,5 ,2 ,2 ,0 ,131
Sinaloa ,13 ,20 ,35 ,38 ,28 ,66 ,128 ,31 ,19 ,8 ,5 ,0 ,391
Sonora ,0 ,1 ,2 ,5 ,25 ,24 ,95 ,7 ,6 ,2 ,5 ,0 ,172
Tabasco ,0 ,3 ,6 ,16 ,50 ,72 ,258 ,21 ,18 ,5 ,3 ,0 ,452
Tamaulipas ,0 ,3 ,4 ,3 ,5 ,4 ,23 ,3 ,7 ,0 ,3 ,0 ,55
Tlaxcala ,0 ,0 ,6 ,7 ,20 ,21 ,92 ,6 ,4 ,2 ,0 ,0 ,158
Veracruz ,0 ,6 ,8 ,18 ,33 ,42 ,153 ,19 ,14 ,2 ,11 ,0 ,306
Yucatán ,0 ,7 ,11 ,39 ,154 ,181 ,499 ,47 ,43 ,11 ,10 ,0 ,1 002
Zacatecas ,1 ,6 ,19 ,52 ,252 ,327 ,978 ,114 ,110 ,28 ,31 ,0 ,1 918
TOTAL GLOBAL ,68 ,268 ,604 ,932 ,2 804 ,3 573 ,10 185 ,1 385 ,1 209 ,388 ,336 ,3 ,21 755
