Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  0 ,  0 ,  1 ,  1 ,  1 ,  6 ,  2 ,  0 ,  0 ,  0 ,  0 ,  11
Baja California ,  0 ,  1 ,  3 ,  1 ,  3 ,  0 ,  14 ,  0 ,  0 ,  1 ,  0 ,  0 ,  23
Baja California Sur ,  0 ,  3 ,  2 ,  0 ,  0 ,  0 ,  8 ,  0 ,  1 ,  1 ,  1 ,  0 ,  16
Campeche ,  0 ,  17 ,  109 ,  97 ,  58 ,  24 ,  63 ,  8 ,  7 ,  0 ,  1 ,  0 ,  384
Coahuila ,  0 ,  0 ,  1 ,  2 ,  4 ,  1 ,  3 ,  2 ,  1 ,  3 ,  1 ,  0 ,  18
Colima ,  1 ,  2 ,  5 ,  2 ,  3 ,  0 ,  7 ,  0 ,  0 ,  0 ,  1 ,  0 ,  21
Chiapas ,  2 ,  5 ,  18 ,  12 ,  7 ,  18 ,  21 ,  8 ,  3 ,  2 ,  2 ,  0 ,  98
Chihuahua ,  0 ,  2 ,  12 ,  75 ,  93 ,  98 ,  285 ,  49 ,  42 ,  17 ,  37 ,  0 ,  710
Distrito Federal ,  1 ,  10 ,  46 ,  64 ,  15 ,  16 ,  28 ,  4 ,  6 ,  4 ,  6 ,  0 ,  200
Durango ,  0 ,  12 ,  10 ,  28 ,  9 ,  14 ,  33 ,  6 ,  2 ,  1 ,  2 ,  0 ,  117
Guanajuato ,  1 ,  6 ,  24 ,  20 ,  25 ,  11 ,  39 ,  17 ,  8 ,  4 ,  10 ,  0 ,  165
Guerrero ,  2 ,  10 ,  14 ,  10 ,  12 ,  2 ,  15 ,  11 ,  2 ,  1 ,  6 ,  0 ,  85
Hidalgo ,  4 ,  17 ,  42 ,  42 ,  28 ,  23 ,  81 ,  10 ,  15 ,  2 ,  11 ,  0 ,  275
Jalisco ,  6 ,  18 ,  24 ,  48 ,  57 ,  65 ,  236 ,  27 ,  41 ,  9 ,  28 ,  0 ,  559
México ,  18 ,  129 ,  192 ,  123 ,  27 ,  11 ,  33 ,  8 ,  5 ,  3 ,  10 ,  1 ,  560
Michoacán ,  1 ,  16 ,  32 ,  23 ,  17 ,  12 ,  31 ,  4 ,  6 ,  0 ,  2 ,  0 ,  144
Morelos ,  0 ,  2 ,  7 ,  2 ,  5 ,  3 ,  10 ,  0 ,  3 ,  0 ,  0 ,  0 ,  32
Nayarit ,  1 ,  4 ,  27 ,  39 ,  13 ,  18 ,  47 ,  10 ,  6 ,  1 ,  3 ,  0 ,  169
Nuevo León ,  4 ,  11 ,  30 ,  24 ,  19 ,  14 ,  32 ,  15 ,  8 ,  4 ,  4 ,  0 ,  165
Oaxaca ,  1 ,  0 ,  8 ,  11 ,  23 ,  8 ,  24 ,  4 ,  5 ,  1 ,  1 ,  0 ,  86
Puebla ,  2 ,  11 ,  13 ,  15 ,  25 ,  20 ,  82 ,  14 ,  15 ,  3 ,  5 ,  0 ,  205
Querétaro ,  0 ,  6 ,  24 ,  56 ,  36 ,  29 ,  115 ,  19 ,  20 ,  4 ,  7 ,  0 ,  316
Quintana Roo ,  0 ,  2 ,  4 ,  9 ,  10 ,  13 ,  29 ,  1 ,  4 ,  1 ,  0 ,  0 ,  73
San Luis Potosí ,  0 ,  4 ,  2 ,  3 ,  2 ,  0 ,  2 ,  0 ,  2 ,  0 ,  5 ,  0 ,  20
Sinaloa ,  3 ,  10 ,  30 ,  8 ,  15 ,  9 ,  18 ,  4 ,  6 ,  3 ,  0 ,  1 ,  107
Sonora ,  1 ,  0 ,  6 ,  8 ,  6 ,  5 ,  29 ,  3 ,  4 ,  0 ,  3 ,  0 ,  65
Tabasco ,  0 ,  3 ,  17 ,  15 ,  8 ,  9 ,  49 ,  9 ,  5 ,  0 ,  2 ,  0 ,  117
Tamaulipas ,  1 ,  6 ,  13 ,  3 ,  3 ,  1 ,  13 ,  1 ,  1 ,  0 ,  0 ,  0 ,  42
Tlaxcala ,  0 ,  2 ,  9 ,  3 ,  10 ,  8 ,  17 ,  2 ,  2 ,  0 ,  1 ,  0 ,  54
Veracruz ,  0 ,  5 ,  58 ,  32 ,  25 ,  11 ,  49 ,  6 ,  8 ,  3 ,  7 ,  0 ,  204
Yucatán ,  1 ,  8 ,  13 ,  13 ,  7 ,  12 ,  16 ,  6 ,  14 ,  3 ,  11 ,  2 ,  106
Zacatecas ,  2 ,  0 ,  8 ,  0 ,  1 ,  1 ,  7 ,  2 ,  0 ,  0 ,  0 ,  0 ,  21
TOTAL GLOBAL ,  52 ,  322 ,  803 ,  789 ,  567 ,  457 , 1 442 ,  252 ,  242 ,  71 ,  167 ,  4 , 5 168
