Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  4 ,  4 ,  6 ,  20 ,  22 ,  57 ,  6 ,  10 ,  0 ,  0 ,  0 ,  129
Baja California ,  2 ,  2 ,  2 ,  11 ,  44 ,  57 ,  153 ,  49 ,  19 ,  3 ,  2 ,  0 ,  344
Baja California Sur ,  1 ,  3 ,  3 ,  4 ,  11 ,  25 ,  65 ,  4 ,  3 ,  2 ,  5 ,  0 ,  126
Campeche ,  0 ,  18 ,  35 ,  60 ,  49 ,  46 ,  184 ,  31 ,  16 ,  0 ,  0 ,  0 ,  439
Coahuila ,  2 ,  3 ,  3 ,  1 ,  15 ,  22 ,  54 ,  4 ,  6 ,  0 ,  6 ,  0 ,  116
Colima ,  0 ,  3 ,  10 ,  14 ,  26 ,  16 ,  123 ,  17 ,  13 ,  10 ,  4 ,  0 ,  236
Chiapas ,  4 ,  10 ,  25 ,  40 ,  37 ,  47 ,  94 ,  22 ,  11 ,  2 ,  3 ,  0 ,  295
Chihuahua ,  1 ,  6 ,  8 ,  90 ,  173 ,  266 ,  856 ,  195 ,  90 ,  23 ,  21 ,  1 , 1 730
Distrito Federal ,  20 ,  96 ,  133 ,  189 ,  227 ,  197 ,  692 ,  56 ,  45 ,  8 ,  26 ,  0 , 1 689
Durango ,  0 ,  2 ,  4 ,  6 ,  5 ,  13 ,  44 ,  6 ,  5 ,  1 ,  5 ,  0 ,  91
Guanajuato ,  7 ,  18 ,  27 ,  28 ,  101 ,  156 ,  436 ,  73 ,  58 ,  8 ,  19 ,  0 ,  931
Guerrero ,  1 ,  17 ,  27 ,  43 ,  59 ,  72 ,  231 ,  27 ,  33 ,  6 ,  18 ,  0 ,  534
Hidalgo ,  13 ,  41 ,  105 ,  128 ,  168 ,  212 ,  763 ,  105 ,  66 ,  15 ,  28 ,  0 , 1 644
Jalisco ,  13 ,  44 ,  89 ,  178 ,  298 ,  456 , 1 335 ,  173 ,  183 ,  67 ,  57 ,  2 , 2 895
México ,  40 ,  145 ,  183 ,  127 ,  85 ,  61 ,  172 ,  40 ,  20 ,  4 ,  7 ,  0 ,  884
Michoacán ,  4 ,  8 ,  21 ,  25 ,  82 ,  92 ,  357 ,  45 ,  46 ,  9 ,  18 ,  0 ,  707
Morelos ,  0 ,  9 ,  14 ,  16 ,  26 ,  48 ,  100 ,  23 ,  18 ,  7 ,  3 ,  0 ,  264
Nayarit ,  0 ,  12 ,  52 ,  121 ,  127 ,  124 ,  397 ,  72 ,  51 ,  13 ,  7 ,  0 ,  976
Nuevo León ,  5 ,  50 ,  73 ,  57 ,  103 ,  165 ,  386 ,  88 ,  47 ,  12 ,  9 ,  0 ,  995
Oaxaca ,  3 ,  13 ,  39 ,  42 ,  65 ,  124 ,  402 ,  63 ,  36 ,  10 ,  25 ,  0 ,  822
Puebla ,  2 ,  24 ,  38 ,  53 ,  115 ,  118 ,  382 ,  57 ,  31 ,  7 ,  12 ,  0 ,  839
Querétaro ,  1 ,  13 ,  25 ,  30 ,  67 ,  63 ,  239 ,  26 ,  45 ,  8 ,  13 ,  0 ,  530
Quintana Roo ,  0 ,  2 ,  3 ,  7 ,  23 ,  33 ,  87 ,  10 ,  2 ,  1 ,  3 ,  0 ,  171
San Luis Potosí ,  0 ,  7 ,  2 ,  9 ,  11 ,  19 ,  51 ,  9 ,  5 ,  2 ,  2 ,  0 ,  117
Sinaloa ,  5 ,  16 ,  29 ,  34 ,  24 ,  21 ,  127 ,  17 ,  19 ,  1 ,  7 ,  0 ,  300
Sonora ,  2 ,  6 ,  4 ,  5 ,  19 ,  56 ,  150 ,  20 ,  5 ,  2 ,  4 ,  0 ,  273
Tabasco ,  0 ,  3 ,  26 ,  32 ,  39 ,  53 ,  163 ,  29 ,  14 ,  13 ,  4 ,  0 ,  376
Tamaulipas ,  1 ,  1 ,  4 ,  1 ,  8 ,  13 ,  20 ,  0 ,  4 ,  3 ,  3 ,  1 ,  59
Tlaxcala ,  0 ,  9 ,  28 ,  24 ,  30 ,  42 ,  84 ,  9 ,  9 ,  0 ,  1 ,  1 ,  237
Veracruz ,  2 ,  3 ,  14 ,  13 ,  38 ,  63 ,  169 ,  31 ,  22 ,  9 ,  17 ,  0 ,  381
Yucatán ,  3 ,  18 ,  30 ,  33 ,  156 ,  108 ,  361 ,  54 ,  36 ,  6 ,  11 ,  0 ,  816
Zacatecas ,  2 ,  6 ,  12 ,  33 ,  158 ,  188 ,  727 ,  101 ,  97 ,  19 ,  22 ,  0 , 1 365
TOTAL GLOBAL ,  134 ,  612 , 1 072 , 1 460 , 2 409 , 2 998 , 9 461 , 1 462 , 1 065 ,  271 ,  362 ,  5 , 21 311
