Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  1 ,  12 ,  23 ,  43 ,  37 ,  37 ,  130 ,  16 ,  13 ,  1 ,  1 ,  0 ,  314
Baja California ,  1 ,  36 ,  7 ,  11 ,  15 ,  28 ,  79 ,  5 ,  8 ,  2 ,  2 ,  0 ,  194
Baja California Sur ,  3 ,  15 ,  12 ,  17 ,  24 ,  40 ,  117 ,  12 ,  8 ,  5 ,  3 ,  0 ,  256
Campeche ,  1 ,  4 ,  0 ,  6 ,  22 ,  39 ,  133 ,  15 ,  8 ,  1 ,  3 ,  0 ,  232
Coahuila ,  1 ,  5 ,  4 ,  3 ,  23 ,  17 ,  50 ,  7 ,  5 ,  3 ,  2 ,  0 ,  120
Colima ,  0 ,  1 ,  5 ,  6 ,  17 ,  27 ,  124 ,  18 ,  6 ,  2 ,  5 ,  0 ,  211
Chiapas ,  5 ,  11 ,  14 ,  32 ,  57 ,  80 ,  133 ,  35 ,  20 ,  3 ,  2 ,  0 ,  392
Chihuahua ,  0 ,  9 ,  50 ,  66 ,  121 ,  169 ,  595 ,  109 ,  76 ,  15 ,  6 ,  1 , 1 217
Distrito Federal ,  5 ,  29 ,  79 ,  131 ,  136 ,  135 ,  304 ,  64 ,  46 ,  6 ,  38 ,  1 ,  974
Durango ,  0 ,  7 ,  7 ,  6 ,  20 ,  19 ,  51 ,  7 ,  5 ,  4 ,  3 ,  0 ,  129
Guanajuato ,  2 ,  6 ,  10 ,  10 ,  27 ,  43 ,  135 ,  32 ,  12 ,  8 ,  8 ,  0 ,  293
Guerrero ,  1 ,  5 ,  14 ,  14 ,  27 ,  24 ,  78 ,  18 ,  19 ,  5 ,  5 ,  0 ,  210
Hidalgo ,  18 ,  73 ,  164 ,  160 ,  162 ,  219 ,  759 ,  104 ,  119 ,  27 ,  33 ,  1 , 1 839
Jalisco ,  15 ,  43 ,  79 ,  108 ,  266 ,  367 , 1 175 ,  150 ,  109 ,  24 ,  42 ,  0 , 2 378
México ,  28 ,  77 ,  89 ,  72 ,  34 ,  45 ,  112 ,  18 ,  9 ,  4 ,  8 ,  0 ,  496
Michoacán ,  4 ,  7 ,  15 ,  26 ,  58 ,  96 ,  348 ,  50 ,  29 ,  9 ,  20 ,  7 ,  669
Morelos ,  1 ,  11 ,  24 ,  25 ,  34 ,  45 ,  123 ,  18 ,  24 ,  4 ,  6 ,  1 ,  316
Nayarit ,  1 ,  2 ,  23 ,  55 ,  39 ,  64 ,  279 ,  51 ,  37 ,  5 ,  8 ,  0 ,  564
Nuevo León ,  20 ,  33 ,  52 ,  41 ,  99 ,  122 ,  236 ,  60 ,  18 ,  3 ,  8 ,  0 ,  692
Oaxaca ,  0 ,  14 ,  19 ,  33 ,  52 ,  67 ,  220 ,  41 ,  33 ,  14 ,  11 ,  0 ,  504
Puebla ,  4 ,  23 ,  18 ,  26 ,  32 ,  36 ,  129 ,  16 ,  10 ,  1 ,  7 ,  0 ,  302
Querétaro ,  2 ,  7 ,  7 ,  1 ,  11 ,  17 ,  48 ,  5 ,  4 ,  0 ,  2 ,  0 ,  104
Quintana Roo ,  0 ,  1 ,  5 ,  8 ,  16 ,  23 ,  70 ,  8 ,  3 ,  2 ,  1 ,  0 ,  137
San Luis Potosí ,  1 ,  2 ,  4 ,  11 ,  11 ,  15 ,  51 ,  3 ,  4 ,  3 ,  4 ,  0 ,  109
Sinaloa ,  3 ,  12 ,  17 ,  11 ,  19 ,  23 ,  45 ,  7 ,  5 ,  2 ,  5 ,  1 ,  150
Sonora ,  3 ,  8 ,  5 ,  10 ,  25 ,  39 ,  146 ,  18 ,  13 ,  2 ,  4 ,  1 ,  274
Tabasco ,  0 ,  4 ,  25 ,  31 ,  40 ,  56 ,  171 ,  22 ,  10 ,  3 ,  7 ,  0 ,  369
Tamaulipas ,  2 ,  3 ,  4 ,  10 ,  8 ,  14 ,  40 ,  7 ,  7 ,  1 ,  2 ,  0 ,  98
Tlaxcala ,  0 ,  8 ,  20 ,  18 ,  24 ,  21 ,  75 ,  10 ,  7 ,  0 ,  2 ,  0 ,  185
Veracruz ,  2 ,  6 ,  13 ,  14 ,  27 ,  51 ,  141 ,  20 ,  17 ,  4 ,  12 ,  0 ,  307
Yucatán ,  5 ,  13 ,  16 ,  29 ,  75 ,  49 ,  228 ,  27 ,  17 ,  5 ,  6 ,  0 ,  470
Zacatecas ,  1 ,  7 ,  11 ,  21 ,  84 ,  105 ,  564 ,  96 ,  86 ,  15 ,  14 ,  0 , 1 004
TOTAL GLOBAL ,  130 ,  494 ,  835 , 1 055 , 1 642 , 2 132 , 6 889 , 1 069 ,  787 ,  183 ,  280 ,  13 , 15 509
