Estado ,Incidencia* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,0.60 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0
Baja California ,2.61 ,38 ,11 ,7 ,3 ,4 ,3 ,2 ,3 ,0 ,1 ,2 ,2 ,0
Baja California Sur ,11.94 ,30 ,1 ,1 ,3 ,5 ,3 ,1 ,3 ,5 ,2 ,1 ,4 ,1
Campeche ,27.42 ,106 ,12 ,7 ,7 ,11 ,10 ,17 ,5 ,9 ,4 ,8 ,7 ,9
Coahuila ,1.50 ,19 ,1 ,2 ,2 ,2 ,0 ,1 ,3 ,1 ,2 ,3 ,2 ,0
Colima ,2.39 ,7 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,3 ,1 ,0 ,0
Chiapas ,4.84 ,106 ,13 ,6 ,9 ,11 ,7 ,13 ,10 ,5 ,5 ,12 ,7 ,8
Chihuahua ,16.05 ,274 ,2 ,11 ,14 ,31 ,44 ,51 ,17 ,24 ,19 ,27 ,19 ,15
Distrito Federal ,3.21 ,138 ,3 ,3 ,10 ,9 ,11 ,10 ,15 ,21 ,19 ,10 ,19 ,8
Durango ,2.85 ,22 ,1 ,1 ,5 ,0 ,1 ,4 ,1 ,3 ,2 ,1 ,3 ,0
Guanajuato ,4.09 ,100 ,1 ,0 ,8 ,5 ,2 ,70 ,1 ,3 ,4 ,2 ,1 ,3
Guerrero ,5.39 ,87 ,7 ,4 ,16 ,12 ,7 ,10 ,7 ,1 ,7 ,4 ,7 ,5
Hidalgo ,18.27 ,213 ,11 ,10 ,30 ,8 ,35 ,23 ,17 ,22 ,9 ,16 ,26 ,6
Jalisco ,44.76 ,1503 ,169 ,88 ,148 ,135 ,113 ,173 ,53 ,156 ,96 ,109 ,145 ,118
México ,2.12 ,153 ,9 ,23 ,12 ,14 ,9 ,10 ,16 ,10 ,16 ,19 ,11 ,4
Michoacán ,3.88 ,80 ,3 ,14 ,8 ,5 ,6 ,7 ,6 ,10 ,3 ,7 ,9 ,2
Morelos ,3.68 ,31 ,0 ,2 ,9 ,1 ,4 ,0 ,2 ,4 ,0 ,3 ,4 ,2
Nayarit ,3.40 ,17 ,1 ,1 ,1 ,2 ,1 ,1 ,1 ,2 ,3 ,1 ,2 ,1
Nuevo León ,3.80 ,80 ,5 ,7 ,7 ,3 ,6 ,7 ,8 ,4 ,3 ,1 ,25 ,4
Oaxaca ,3.41 ,62 ,7 ,3 ,16 ,2 ,5 ,6 ,2 ,7 ,2 ,6 ,3 ,3
Puebla ,2.44 ,66 ,7 ,1 ,12 ,7 ,4 ,8 ,7 ,4 ,1 ,3 ,6 ,6
Querétaro ,3.07 ,24 ,2 ,1 ,1 ,2 ,1 ,1 ,6 ,3 ,3 ,1 ,3 ,0
Quintana Roo ,6.25 ,34 ,3 ,5 ,3 ,8 ,1 ,0 ,2 ,2 ,1 ,2 ,3 ,4
San Luis Potosí ,2.37 ,28 ,6 ,1 ,4 ,4 ,1 ,3 ,1 ,3 ,1 ,0 ,4 ,0
Sinaloa ,3.16 ,44 ,2 ,2 ,1 ,1 ,5 ,15 ,1 ,5 ,1 ,0 ,9 ,2
Sonora ,1.61 ,20 ,1 ,0 ,11 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0
Tabasco ,8.56 ,88 ,4 ,7 ,8 ,13 ,5 ,5 ,9 ,11 ,9 ,3 ,9 ,5
Tamaulipas ,1.86 ,29 ,4 ,2 ,5 ,0 ,0 ,3 ,0 ,4 ,3 ,7 ,1 ,0
Tlaxcala ,3.82 ,20 ,1 ,3 ,0 ,1 ,0 ,0 ,0 ,1 ,3 ,3 ,5 ,3
Veracruz ,2.28 ,82 ,10 ,18 ,11 ,2 ,8 ,7 ,6 ,7 ,5 ,4 ,2 ,2
Yucatán ,3.26 ,29 ,0 ,3 ,3 ,11 ,0 ,1 ,0 ,4 ,1 ,1 ,5 ,0
Zacatecas ,5.21 ,36 ,1 ,1 ,4 ,3 ,6 ,3 ,2 ,3 ,0 ,0 ,7 ,6
TOTAL GLOBAL ,6.81 ,3569 ,298 ,234 ,371 ,319 ,301 ,452 ,205 ,336 ,228 ,257 ,351 ,217
