Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  7 ,  4 ,  3 ,  5 ,  1 ,  3 ,  2 ,  2 ,  0 ,  3 ,  0 ,  30
Baja California ,  1 ,  1 ,  4 ,  0 ,  2 ,  5 ,  2 ,  4 ,  2 ,  1 ,  1 ,  1 ,  24
Baja California Sur ,  1 ,  3 ,  0 ,  2 ,  0 ,  0 ,  5 ,  1 ,  1 ,  0 ,  0 ,  0 ,  13
Campeche ,  0 ,  34 ,  190 ,  124 ,  85 ,  58 ,  107 ,  10 ,  8 ,  1 ,  3 ,  0 ,  620
Coahuila ,  0 ,  0 ,  3 ,  1 ,  3 ,  1 ,  8 ,  1 ,  1 ,  0 ,  1 ,  0 ,  19
Colima ,  0 ,  0 ,  0 ,  0 ,  1 ,  1 ,  2 ,  1 ,  1 ,  1 ,  0 ,  0 ,  7
Chiapas ,  1 ,  2 ,  24 ,  8 ,  7 ,  5 ,  27 ,  7 ,  2 ,  3 ,  4 ,  0 ,  90
Chihuahua ,  1 ,  3 ,  14 ,  25 ,  107 ,  79 ,  206 ,  93 ,  25 ,  13 ,  6 ,  0 ,  572
Distrito Federal ,  0 ,  13 ,  67 ,  69 ,  21 ,  8 ,  41 ,  3 ,  9 ,  2 ,  3 ,  0 ,  236
Durango ,  0 ,  3 ,  11 ,  11 ,  12 ,  10 ,  41 ,  2 ,  1 ,  2 ,  1 ,  0 ,  94
Guanajuato ,  2 ,  22 ,  12 ,  26 ,  23 ,  36 ,  37 ,  15 ,  13 ,  3 ,  4 ,  0 ,  193
Guerrero ,  2 ,  5 ,  13 ,  17 ,  10 ,  5 ,  19 ,  6 ,  6 ,  0 ,  7 ,  0 ,  90
Hidalgo ,  4 ,  10 ,  49 ,  43 ,  17 ,  12 ,  103 ,  19 ,  9 ,  4 ,  10 ,  0 ,  280
Jalisco ,  6 ,  18 ,  35 ,  22 ,  51 ,  115 ,  308 ,  41 ,  26 ,  13 ,  20 ,  0 ,  655
México ,  16 ,  52 ,  41 ,  36 ,  25 ,  6 ,  5 ,  5 ,  0 ,  0 ,  0 ,  0 ,  186
Michoacán ,  1 ,  2 ,  7 ,  4 ,  8 ,  8 ,  15 ,  1 ,  4 ,  1 ,  1 ,  0 ,  52
Morelos ,  0 ,  2 ,  5 ,  2 ,  4 ,  0 ,  1 ,  0 ,  0 ,  0 ,  1 ,  0 ,  15
Nayarit ,  1 ,  7 ,  55 ,  41 ,  19 ,  17 ,  40 ,  5 ,  3 ,  1 ,  8 ,  0 ,  197
Nuevo León ,  2 ,  23 ,  45 ,  32 ,  19 ,  31 ,  60 ,  12 ,  7 ,  4 ,  4 ,  0 ,  239
Oaxaca ,  0 ,  3 ,  16 ,  14 ,  12 ,  7 ,  29 ,  5 ,  4 ,  4 ,  3 ,  0 ,  97
Puebla ,  0 ,  13 ,  13 ,  14 ,  17 ,  19 ,  34 ,  5 ,  9 ,  3 ,  4 ,  0 ,  131
Querétaro ,  1 ,  9 ,  27 ,  62 ,  28 ,  35 ,  91 ,  12 ,  14 ,  6 ,  10 ,  0 ,  295
Quintana Roo ,  0 ,  1 ,  5 ,  6 ,  6 ,  8 ,  23 ,  7 ,  3 ,  0 ,  2 ,  0 ,  61
San Luis Potosí ,  1 ,  3 ,  2 ,  3 ,  1 ,  0 ,  7 ,  0 ,  1 ,  1 ,  0 ,  0 ,  19
Sinaloa ,  7 ,  32 , 35 , 24 , 11 , 3 , 31 ,  6 , 3 , 0 , 1 , 1 ,  154
Sonora ,  0 ,  3 ,  2 ,  3 ,  2 ,  9 ,  27 ,  10 ,  1 ,  1 ,  4 ,  0 ,  62
Tabasco ,  1 ,  6 ,  31 ,  37 ,  13 ,  8 ,  31 ,  5 ,  1 ,  1 ,  3 ,  0 ,  137
Tamaulipas ,  0 ,  12 ,  13 ,  9 ,  2 ,  5 ,  4 ,  0 ,  0 ,  0 ,  0 ,  0 ,  45
Tlaxcala ,  0 ,  1 ,  2 ,  8 ,  17 ,  3 ,  17 ,  4 ,  2 ,  1 ,  0 ,  0 ,  55
Veracruz ,  2 ,  6 ,  22 ,  33 ,  25 ,  12 ,  28 ,  5 ,  6 ,  2 ,  4 ,  0 ,  145
Yucatán ,  1 ,  7 ,  8 ,  6 ,  12 ,  13 ,  22 ,  3 ,  7 ,  0 ,  1 ,  0 ,  80
Zacatecas ,  1 ,  5 ,  16 ,  7 ,  4 ,  7 ,  14 ,  4 ,  0 ,  0 ,  2 ,  0 ,  60
TOTAL GLOBAL ,  52 ,  308 ,  771 ,  692 ,  569 ,  527 , 1 388 ,  294 ,  171 ,  68 ,  111 ,  2 , 4 953
